ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000100335;ENSMUST00000106926	Mrc2;RP23-35E7.1-001;Kiaa0709	"Mannose receptor, C type 2;C-type mannose receptor 2;Macrophage mannose receptor 2;Lectin lambda"	"mannose receptor, C type 2 precursor;Isoform 1 of C-type mannose receptor 2;Mannose receptor, C type 2"	1479	3898.33	4296.31	11.46	16.47
ENSMUST00000045281	Smg6;Est1a;Kiaa0732	Telomerase-binding protein EST1A;Ever shorter telomeres 1A;Telomerase subunit EST1A;EST1-like protein A;Smg-6 homolog	Telomerase-binding protein EST1A	1418	3908.39	767.43	7.28	7.04
ENSMUST00000025292	Dhx16;mKIAA0577	MKIAA0577 protein;Dhx16 protein	DEAH (Asp-Glu-Ala-His) box polypeptide 16;Dhx16 protein	1044	3917.88	6818.48	13.62	13.09
ENSMUST00000062861	Rabggta	Geranylgeranyl transferase type-2 subunit alpha;Geranylgeranyl transferase type II subunit alpha;Rab geranylgeranyltransferase subunit alpha;Rab geranyl-geranyltransferase subunit alpha;Rabggta protein	Isoform 1 of Geranylgeranyl transferase type-2 subunit alpha;Isoform 2 of Geranylgeranyl transferase type-2 subunit alpha;Rabggta protein	567	3928.19	3518.16	3.75	3.67
ENSMUST00000033898	Col4a1	Collagen alpha-1(IV) chain	Collagen alpha-1(IV) chain	1669	3948.45	4314.97	75.39	131.99
ENSMUST00000084660	Pik3c2a;Cpk	Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing alpha polypeptide;Phosphoinositide 3-Kinase-C2-alpha;PtdIns-3-kinase C2 alpha;Cpk-m;p170	Isoform 1 of Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha;Isoform 2 of Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing subunit alpha	1686	3949.26	3545.94	6.81	7.18
ENSMUST00000009713	Mkl2;Mrtfb	MKL/myocardin-like protein 2;Myocardin-related transcription factor B;Mkl2 protein	MKL/myocardin-like 2 isoform 3;MKL/myocardin-like 2 isoform 1	1091	3953.02	42.33	3.76	4.41
ENSMUST00000055941;ENSMUST00000113557	Atp7a;Mnk;RP23-186F4.3-002	"Copper-transporting ATPase 1;Copper pump 1;Menkes disease-associated protein homolog;ATPase, Cu++ transporting, alpha polypeptide"	"ATPase, Cu++ transporting, alpha polypeptide isoform 1;ATPase, Cu++ transporting, alpha polypeptide isoform 2"	1492	3953.64	857.93	3.06	4.63
ENSMUST00000110916	Lcp1;Pls2	Plastin-2;L-plastin;Lymphocyte cytosolic protein 1;65 kDa macrophage protein;pp65	Plastin-2	627	3961.17	18811.44	2.77	2.62
ENSMUST00000076813	Iah1	Isoamyl acetate-hydrolyzing esterase 1 homolog	Isoamyl acetate-hydrolyzing esterase 1 homolog	249	3964.64	17978.25	7.75	9.07
ENSMUST00000055303;ENSMUST00000112031	Mettl6	Methyltransferase-like protein 6	Isoform 1 of Methyltransferase-like protein 6;Isoform 3 of Methyltransferase-like protein 6;Isoform 2 of Methyltransferase-like protein 6	282	3970.15	1898.3	9.93	9.8
ENSMUST00000098937	Ecsit;Sitpec	"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial;Protein SITPEC"	"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"	435	3990.77	4363.7	10.71	11.4
ENSMUST00000069792	Nab1;mCG_123682	NGFI-A-binding protein 1;EGR-1-binding protein 1;Ngfi-A binding protein 1	NGFI-A-binding protein 1;Ngfi-A binding protein 1	486	3991.39	2940.68	11.33	12.58
ENSMUST00000020197;ENSMUST00000079157;ENSMUST00000081726;ENSMUST00000105926;ENSMUST00000105927	Eya3	Eyes absent homolog 3	eyes absent 3 isoform 1;eyes absent 3 isoform 2;Isoform 2 of Eyes absent homolog 3	526	3992.89	5099.74	6.55	7.02
ENSMUST00000022977;ENSMUST00000100640	Sqle;Erg1	Squalene monooxygenase;Squalene epoxidase;Putative uncharacterized protein	Squalene monooxygenase;Putative uncharacterized protein	572	4002.7	8613.75	35.58	34.2
ENSMUST00000036865;ENSMUST00000036896	Fanci	Fanconi anemia group I protein homolog	Isoform 1 of Fanconi anemia group I protein homolog;Isoform 4 of Fanconi anemia group I protein homolog	1330	4010.22	2638.14	6.91	5.8
ENSMUST00000065483;ENSMUST00000084985;ENSMUST00000109832	Ppp2r5c;mKIAA0044	"MKIAA0044 protein;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PP2A, B subunit, B' gamma isoform;PP2A, B subunit, B56 gamma isoform;PP2A, B subunit, PR61 gamma isoform;PP2A, B subunit, R5 gamma isoform;PP2A, B subunit, B'alpha3 isoform"	"gamma isoform of regulatory subunit B56, protein phosphatase 2A isoform d;Isoform 2 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;Isoform 4 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isof"	581	4015.4	27769.9	17.47	20.59
ENSMUST00000065418	Rab13	Ras-related protein Rab-13	Ras-related protein Rab-13	202	4018.96	4960.06	10.68	11.74
ENSMUST00000082337	Mdc1;Kiaa0170	Mediator of DNA damage checkpoint protein 1	mediator of DNA damage checkpoint 1	1708	4044.71	1126.83	7.8	10.1
ENSMUST00000001171;ENSMUST00000115011;ENSMUST00000115008	Lman2l;Vipl	VIP36-like protein;Lectin mannose-binding 2-like;Lman2l protein	VIP36-like protein;41 kDa protein;Lman2l protein;Protein	347	4056.4	3326.24	5.53	6.08
ENSMUST00000099856	Mtr	Methionine synthase;5-methyltetrahydrofolate--homocysteine methyltransferase;Vitamin-B12 dependent methionine synthase	Methionine synthase	1253	4093.89	2101.95	7.79	7.88
ENSMUST00000042054;ENSMUST00000050684	Foxf2;Lun;Foxf1;Fkhl5;Foxf1a;Freac1;Hfh8	Forkhead box F2;Forkhead box protein F2;Protein LUN;Forkhead box protein F1;Forkhead-related transcription factor 1;Forkhead-related protein FKHL5;Hepatocyte nuclear factor 3 forkhead homolog 8	forkhead box F2;Forkhead box protein F2;Forkhead box protein F1	446	4100.52	33551.42	22.05	32.62
ENSMUST00000084896;ENSMUST00000107011	Arap1;Centd2;Kiaa0782	"Arf-GAP, Rho-GAP domain, ANK repeat and PH domain-containing protein 1;Centaurin-delta-2"	"Isoform 1 of Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1;Isoform 2 of Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1;Isoform 3 of Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing pr"	1452	4109.25	2004.69	4.5	7.19
ENSMUST00000015277;ENSMUST00000077207;ENSMUST00000089025	Lrrk1;Kiaa1790	Leucine-rich repeat serine/threonine-protein kinase 1	Isoform 1 of Leucine-rich repeat serine/threonine-protein kinase 1;Isoform 3 of Leucine-rich repeat serine/threonine-protein kinase 1	2014	4113.34	14690.06	19.7	33.1
ENSMUST00000003642;ENSMUST00000003641	Klc4;Knsl8	Kinesin light chain 4;Kinesin-like protein 8;Klc4 protein	Kinesin light chain 4;Klc4 protein	619	4126.62	1185.3	1.83	4.19
ENSMUST00000069718	Fto;Kiaa1752	Protein fto;Fat mass and obesity-associated protein;Protein fatso	Isoform 1 of Protein fto;Isoform 2 of Protein fto;Isoform 3 of Protein fto;Isoform 4 of Protein fto	502	4128.66	22511.42	11.87	17.13
ENSMUST00000056677	Znf830;Ccdc16;Omcg1;Zfp830	Zinc finger protein 830;Coiled-coil domain-containing protein 16;Ovus mutant candidate gene 1 protein	Zinc finger protein 830	363	4137.4	4525.93	3.77	5.17
ENSMUST00000100544;ENSMUST00000031736	Agfg2;Hrbl;Rabr	Putative uncharacterized protein;Arf-GAP domain and FG repeats-containing protein 2;HIV-1 Rev-binding protein-like protein;Rev/Rex activation domain-binding protein related	Putative uncharacterized protein;Isoform 1 of Arf-GAP domain and FG repeats-containing protein 2;Putative uncharacterized protein;ArfGAP with FG repeats 2 isoform 1	490	4161.03	1532.38	5.51	6.2
ENSMUST00000018353	Stk4;Mst1	Serine/threonine-protein kinase 4;STE20-like kinase MST1;Mammalian STE20-like protein kinase 1	Serine/threonine-protein kinase 4	487	4166.96	3610.4	6.17	6.78
ENSMUST00000007800	Arpp19	cAMP-regulated phosphoprotein 19	cAMP-regulated phosphoprotein 19 isoform 2;Isoform ARPP-19 of cAMP-regulated phosphoprotein 19;Isoform ARPP-16 of cAMP-regulated phosphoprotein 19	145	4170.51	2521.69	16.16	15.23
ENSMUST00000013886	Ppp1r12c;Mbs85	Protein phosphatase 1 regulatory subunit 12C;Protein phosphatase 1 myosin-binding subunit of 85 kDa;Protein phosphatase 1 myosin-binding subunit p85;Ppp1r12c protein	Protein phosphatase 1 regulatory subunit 12C;Ppp1r12c protein	782	4172.36	4450.89	16.55	16.23
ENSMUST00000097649;ENSMUST00000097650	Lrrfip1;Flap	Lrrfip1 protein;Leucine-rich repeat flightless-interacting protein 1;LRR FLII-interacting protein 1;FLI-LRR-associated protein 1;H186 FLAP	Lrrfip1 protein;Isoform 2 of Leucine-rich repeat flightless-interacting protein 1	663	4185.7	3452.22	12.33	13.38
ENSMUST00000026217;ENSMUST00000112015	Chuk;Ikka	Inhibitor of nuclear factor kappa-B kinase subunit alpha;I-kappa-B kinase 1;Conserved helix-loop-helix ubiquitous kinase;Nuclear factor NF-kappa-B inhibitor kinase alpha	Isoform 1 of Inhibitor of nuclear factor kappa-B kinase subunit alpha;conserved helix-loop-helix ubiquitous kinase isoform 2;Isoform 2 of Inhibitor of nuclear factor kappa-B kinase subunit alpha	745	4213.15	7917.56	13.36	13.35
ENSMUST00000055009;ENSMUST00000098425	Vprbp;Kiaa0800	Protein VPRBP	Isoform 1 of Protein VPRBP;Isoform 4 of Protein VPRBP;Isoform 2 of Protein VPRBP;Isoform 3 of Protein VPRBP	1506	4218.31	4102.11	9.34	7.91
ENSMUST00000024840;ENSMUST00000112687	Arhgap28;Kiaa1314	Rho GTPase-activating protein 28;Rho-type GTPase-activating protein 28	Isoform 1 of Rho GTPase-activating protein 28;Isoform 3 of Rho GTPase-activating protein 28;Isoform 2 of Rho GTPase-activating protein 28	729	4237.46	4818.45	7.24	8.28
ENSMUST00000041160	Gng10	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	68	4237.62	2293.94	41.88	23.68
ENSMUST00000036206	Ccdc92;D5Bwg0834e	Coiled-coil domain-containing protein 92	Coiled-coil domain-containing protein 92;15 kDa protein	314	4239.55	620.58	13.14	12.39
ENSMUST00000105975;ENSMUST00000105982;ENSMUST00000030739;ENSMUST00000084253;ENSMUST00000105972;ENSMUST00000105981;ENSMUST00000105980;ENSMUST00000105974;ENSMUST00000105979;ENSMUST00000097858;ENSMUST00000105970;ENSMUST00000105969;ENSMUST00000097859	Epb4.1;RP23-13A13.5-008;Epb41;Kiaa4056;RP23-13A13.5-010;RP23-13A13.5-005;RP23-13A13.5-003;RP23-13A13.5-006;RP23-13A13.5-009	Erythrocyte protein band 4.1;Protein 4.1;Band 4.1;P4.1;4.1R;Putative uncharacterized protein	Erythrocyte protein band 4.1;Isoform 1 of Protein 4.1;erythrocyte membrane protein band 4.1 isoform 3;Isoform 2 of Protein 4.1;Erythrocyte protein band 4.1;Erythrocyte protein band 4.1;Erythrocyte protein band 4.1;Putative uncharacterized protein;Erythrocy	869	4240.84	715.71	6.27	10.33
ENSMUST00000021857	Fars2;Fars1	"Phenylalanyl-tRNA synthetase, mitochondrial;Phenylalanine--tRNA ligase;Putative uncharacterized protein"	"Phenylalanyl-tRNA synthetase, mitochondrial;phenylalanine-tRNA synthetase 2 isoform 2;Putative uncharacterized protein"	451	4257.54	5651	3.69	4.17
ENSMUST00000082177;ENSMUST00000112584;ENSMUST00000112588	Kdm5c;Jarid1c;Kiaa0234;Smcx;Xe169	Lysine-specific demethylase 5C;Histone demethylase JARID1C;Jumonji/ARID domain-containing protein 1C;Protein SmcX;Protein Xe169	Isoform 1 of Lysine-specific demethylase 5C;Isoform 2 of Lysine-specific demethylase 5C;Isoform 3 of Lysine-specific demethylase 5C	1554	4258.04	2287.14	27.6	39.91
ENSMUST00000084488	Dock1	Dedicator of cytokinesis protein 1;180 kDa protein downstream of CRK;DOCK180	Isoform 1 of Dedicator of cytokinesis protein 1;Isoform 2 of Dedicator of cytokinesis protein 1	1865	4283.37	3444.09	8.31	8.71
ENSMUST00000036187;ENSMUST00000116561	Qsox2;Qscn6l1	Sulfhydryl oxidase 2;Quiescin Q6-like protein 1	Isoform 1 of Sulfhydryl oxidase 2;Isoform 2 of Sulfhydryl oxidase 2;Isoform 3 of Sulfhydryl oxidase 2	692	4296.62	14830.95	3.3	3.92
ENSMUST00000028234;ENSMUST00000113064	Traf1	TNF receptor-associated factor 1;Putative uncharacterized protein	TNF receptor-associated factor 1;Tnf receptor-associated factor 1;Putative uncharacterized protein	409	4336.92	450.73	13.05	11.28
ENSMUST00000039894	Tbce	Tubulin-specific chaperone E;Tubulin-folding cofactor E	Tubulin-specific chaperone E	524	4347.12	6588.76	7.72	8.35
ENSMUST00000002172;ENSMUST00000099722	Acp2;RP23-20F9.7-005;RP23-20F9.7-004	Lysosomal acid phosphatase;Acid phosphatase 2 lysosomal	Lysosomal acid phosphatase;Putative uncharacterized protein;Acid phosphatase 2 lysosomal	423	4349.07	13753.24	7.4	10.17
ENSMUST00000048993	Polr3g	DNA-directed RNA polymerase III subunit RPC7;DNA-directed RNA polymerase III subunit G	Isoform 1 of DNA-directed RNA polymerase III subunit RPC7;Isoform 2 of DNA-directed RNA polymerase III subunit RPC7	223	4354.68	6040.57	5.29	3.43
ENSMUST00000029915	2610029I01Rik;RP23-38K18.2;RP23-38K18.2-001	Novel rhodanese-like protein;Putative uncharacterized protein	hypothetical protein LOC77032	157	4363.23	3446.57	3.08	4.88
ENSMUST00000093020;ENSMUST00000108712;ENSMUST00000001063;ENSMUST00000116368;ENSMUST00000108711	Epn2;RP23-155J3.7-006;RP23-155J3.7-005	Epsin 2;Epsin-2;EPS-15-interacting protein 2;Intersectin-EH-binding protein 2	Epsin 2;Isoform 1 of Epsin-2;Isoform 2 of Epsin-2;Epsin 2	634	4381.59	19461.7	9.05	12.42
ENSMUST00000046520;ENSMUST00000114394	Fkbp14	FK506-binding protein 14;Peptidyl-prolyl cis-trans isomerase;Fkbp14 protein;Putative uncharacterized protein	Peptidyl-prolyl cis-trans isomerase FKBP14;Fkbp14 protein;13 kDa protein;Putative uncharacterized protein	211	4393.71	286.85	2.23	5.58
ENSMUST00000075447;ENSMUST00000108450	Pvrl2;Mph;Pvr;Pvs	Poliovirus receptor-related protein 2;Murine herpesvirus entry protein B;Nectin-2;Poliovirus receptor homolog	Isoform Beta of Poliovirus receptor-related protein 2;Isoform Alpha of Poliovirus receptor-related protein 2	530	4395.54	7523.97	7.78	6.4
ENSMUST00000052965	Nipbl	Nipped-B-like protein;Delangin homolog;SCC2 homolog	Isoform 1 of Nipped-B-like protein;Isoform 2 of Nipped-B-like protein	2798	4410.69	4639.93	13.69	18.95
ENSMUST00000000828	Txnrd3;Tgr;Trxr3	Thioredoxin reductase 3;Thioredoxin reductase TR2;Thioredoxin and glutathione reductase	thioredoxin reductase 3	613	4411.41	1041.9	5.7	4.64
ENSMUST00000098645	Dda1	DET1- and DDB1-associated protein 1	DET1- and DDB1-associated protein 1	102	4414.06	4980.42	13.45	13.32
ENSMUST00000032105;ENSMUST00000101126	Lrig1	Leucine-rich repeats and immunoglobulin-like domains protein 1	Leucine-rich repeats and immunoglobulin-like domains protein 1	1091	4414.64	868.32	31.85	47.8
ENSMUST00000041732	Kirrel;Kirrel1;Neph1	Kin of IRRE-like protein 1;Kin of irregular chiasm-like protein 1;Nephrin-like protein 1	Isoform 1 of Kin of IRRE-like protein 1;Isoform 2 of Kin of IRRE-like protein 1	789	4429.69	10110.9	44.48	57.05
ENSMUST00000026699	Mkln1	Muskelin	Muskelin	735	4433.14	3238.62	14.45	13.01
ENSMUST00000044442	Ptk7	Tyrosine-protein kinase-like 7	Tyrosine-protein kinase-like 7	1062	4443.8	4239.34	7.66	13.55
ENSMUST00000024869	Spast;Kiaa1083;Spg4	Spastin	Spastin;spastin isoform 2	614	4462.54	1426.34	4.24	4.86
ENSMUST00000067924	Lrrc8c;Ad158	Leucine-rich repeat-containing protein 8C;Protein AD158	Leucine-rich repeat-containing protein 8C	803	4469.18	9498.71	12.13	25.84
ENSMUST00000050398;ENSMUST00000107426;ENSMUST00000107429	Flad1	FAD synthetase;FMN adenylyltransferase;FAD pyrophosphorylase;Flavin adenine dinucleotide synthetase;Molybdenum cofactor biosynthesis protein-like region;FAD synthetase region	Isoform 2 of FAD synthetase;Isoform 1 of FAD synthetase	518	4481.47	19147.7	7.61	9.72
ENSMUST00000070039;ENSMUST00000112487	Fez2	Fasciculation and elongation protein zeta-2;Zygin-2;Zygin II	42 kDa protein;Fasciculation and elongation protein zeta-2	375	4493.17	10537.73	74.16	50.83
ENSMUST00000044176;ENSMUST00000087689;ENSMUST00000099594	Bmcc1;Kiaa0367	BNIP2 motif-containing molecule at the C-terminal region 1	prune homolog 2	3084	4497.55	2300.59	8.57	7.62
ENSMUST00000112533;ENSMUST00000028362;ENSMUST00000100079	Ly75;RP23-10L17.4-001;Cd205	Lymphocyte antigen 75;DEC-205;Putative uncharacterized protein	Lymphocyte antigen 75;Lymphocyte antigen 75;Putative uncharacterized protein	1723	4501.25	1606.97	8.19	6.23
ENSMUST00000070326	Ttk;Esk	Dual specificity protein kinase TTK;Putative uncharacterized protein	Isoform 1 of Dual specificity protein kinase TTK;Isoform 2 of Dual specificity protein kinase TTK;Ttk protein kinase isoform 2	856	4524.7	1052.11	10.92	8.64
ENSMUST00000034940;ENSMUST00000098613	Usp3	Ubiquitin carboxyl-terminal hydrolase 3;Ubiquitin thioesterase 3;Ubiquitin-specific-processing protease 3;Deubiquitinating enzyme 3;Ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 3;Ubiquitin carboxyl-terminal hydrolase	520	4533.83	7919.1	12.31	13.95
ENSMUST00000084885;ENSMUST00000116492	Ubp1;Cp2b;Nf2d9	Upstream-binding protein 1;Nuclear factor 2d9	Isoform 1 of Upstream-binding protein 1;Isoform 2 of Upstream-binding protein 1	540	4534.48	10688.11	17.06	16.87
ENSMUST00000033501;ENSMUST00000115642	Hdac6;RP23-198C2.1-003	Histone deacetylase 6;Histone deacetylase mHDA2;Putative uncharacterized protein	Hdac6 protein;Putative uncharacterized protein	1152	4546.42	1998.16	5.52	5.45
ENSMUST00000021632	Akr1c12	"Aldo-keto reductase family 1, member C12"	"aldo-keto reductase family 1, member C12"	323	4561.92	13173.33	9.96	10.53
ENSMUST00000114338;ENSMUST00000114340	Add1	Alpha-adducin;Erythrocyte adducin subunit alpha	Isoform 1 of Alpha-adducin;adducin 1 (alpha) isoform 3;73 kDa protein;Isoform 2 of Alpha-adducin;73 kDa protein	735	4568.48	11957.71	18.86	14.59
ENSMUST00000032891	Smg1;Kiaa0421	Serine/threonine-protein kinase SMG1	Isoform 1 of Serine/threonine-protein kinase SMG1	3658	4598.15	3936.09	14.31	14.31
ENSMUST00000057972;ENSMUST00000077879;ENSMUST00000098601	Vps13c;Kiaa3021;Vps13c 3' variant II	Vacuolar protein sorting-associated protein 13C;Chorein	Isoform 1 of Vacuolar protein sorting-associated protein 13C;Chorein;Isoform 3 of Vacuolar protein sorting-associated protein 13C;Isoform 2 of Vacuolar protein sorting-associated protein 13C	3748	4620.49	3143.02	2.44	3.41
ENSMUST00000026062	Casp7;Lice2;Mch3	Caspase-7;LICE2 cysteine protease;Apoptotic protease Mch-3;Caspase-7 subunit p20;Caspase-7 subunit p11	Caspase-7	303	4633.34	8691.54	2.71	5.1
ENSMUST00000098534;ENSMUST00000116267	Znhit6	Zinc finger HIT domain-containing protein 6	"MCG7779, isoform CRA_c;Isoform 1 of Box C/D snoRNA protein 1;34 kDa protein"	460	4635.1	3459.6	11.57	10.86
ENSMUST00000020749;ENSMUST00000093239;ENSMUST00000101423	Mtif2;RP23-92B18.1-002;RP23-92B18.1-003;RP23-92B18.1-006;RP23-92B18.1-005	"Translation initiation factor IF-2;Translation initiation factor IF-2, mitochondrial;Mitochondrial translational initiation factor 2"	"Translation initiation factor IF-2;Translation initiation factor IF-2, mitochondrial;Mitochondrial translational initiation factor 2;Mitochondrial translational initiation factor 2;Mitochondrial translational initiation factor 2"	727	4638.92	1343.91	4.87	6
ENSMUST00000026735	Ccdc51	Coiled-coil domain-containing protein 51	Isoform 1 of Coiled-coil domain-containing protein 51;Isoform 2 of Coiled-coil domain-containing protein 51	406	4668.03	4563.84	1.6	1.45
ENSMUST00000025912	Plcb3	"Putative uncharacterized protein;1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3;Phosphoinositide phospholipase C;Phospholipase C-beta-3"	"Putative uncharacterized protein;1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-3"	1234	4704.88	5816.98	10.44	8.64
ENSMUST00000055518;ENSMUST00000035532	Pik3r1	Phosphatidylinositol 3-kinase regulatory subunit alpha;PI3-kinase p85 subunit alpha;PtdIns-3-kinase p85-alpha;Phosphoinositide 3-kinase p85alpha	"Phosphatidylinositol 3-kinase regulatory subunit alpha;phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 isoform 2;phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 isoform 1"	724	4715.29	7366.08	10.17	8.89
ENSMUST00000019075	Gtlf3b	Protein GTLF3B;Gene trap locus protein F3b;Gene trap locus protein F3-2	Protein GTLF3B	110	4725.62	15330.09	3.83	6.95
ENSMUST00000089688	Mmp14;Mtmmp	Matrix metalloproteinase-14;Membrane-type matrix metalloproteinase 1;Membrane-type-1 matrix metalloproteinase;MMP-X1;MT-MMP;Putative uncharacterized protein	Matrix metalloproteinase-14;matrix metalloproteinase 14	582	4742.48	6645.14	27.98	27.79
ENSMUST00000020074;ENSMUST00000089092	Sept10	Septin-10	Isoform 1 of Septin-10;Isoform 2 of Septin-10	452	4752.55	3595.04	14.91	9.71
ENSMUST00000006559;ENSMUST00000098500	Tpbg;5t4	Putative uncharacterized protein;Trophoblast glycoprotein;5T4 oncofetal trophoblast glycoprotein	trophoblast glycoprotein precursor;Trophoblast glycoprotein	426	4754.87	23956.77	9.89	14.01
ENSMUST00000047973	Dhcr24;Kiaa0018	24-dehydrocholesterol reductase;3-beta-hydroxysterol delta-24-reductase	24-dehydrocholesterol reductase	516	4776.38	26679.16	22.49	33.3
ENSMUST00000067632;ENSMUST00000106440	Trim65	Tripartite motif-containing protein 65;Putative uncharacterized protein	Isoform 1 of Tripartite motif-containing protein 65;Isoform 2 of Tripartite motif-containing protein 65;Putative uncharacterized protein	522	4777.8	243.4	5.06	3.26
ENSMUST00000023431	Tbc1d23	TBC1 domain family member 23	Isoform 1 of TBC1 domain family member 23;Isoform 2 of TBC1 domain family member 23	684	4791.6	1886.05	5.49	6.01
ENSMUST00000064377;ENSMUST00000090511	Gcc1	GRIP and coiled-coil domain-containing protein 1;Golgi coiled-coil protein 1	GRIP and coiled-coil domain-containing protein 1	778	4794.28	865.12	3.43	4.84
ENSMUST00000019929	Katna1	Katanin p60 ATPase-containing subunit A1;p60 katanin;Lipotransin	katanin p60 subunit A 1	493	4806.65	4297.54	8.91	8.82
ENSMUST00000106613;ENSMUST00000029483;ENSMUST00000106609;ENSMUST00000106610;ENSMUST00000106611	Clcc1;RP23-217I18.1-001;mCG_4070	"Chloride channel CLIC-like 1;Chloride channel CLIC-like 1, isoform CRA_a;Chloride channel CLIC-like protein 1"	"Chloride channel CLIC-like 1, isoform CRA_a;Chloride channel CLIC-like protein 1"	544	4807.61	3439.76	6.88	9.91
ENSMUST00000020109	Actr6	Actin-related protein 6	Actin-related protein 6	396	4823.37	1911.33	3.34	1.87
ENSMUST00000044783;ENSMUST00000115460;ENSMUST00000073840;ENSMUST00000115457;ENSMUST00000115461	Eif4g1	Eukaryotic translation initiation factor 4 gamma 1;Eif4g1 protein	Isoform 1 of Eukaryotic translation initiation factor 4 gamma 1;Eif4g1 protein;Isoform 2 of Eukaryotic translation initiation factor 4 gamma 1	1600	4837.47	5076.94	151.69	154.18
ENSMUST00000036570	Appl1;Dip13a;Kiaa1428	"DCC-interacting protein 13-alpha;Adapter protein containing PH domain, PTB domain and leucine zipper motif 1"	DCC-interacting protein 13-alpha	707	4846.23	4865.31	3.41	3.16
ENSMUST00000088095;ENSMUST00000109252;ENSMUST00000099082	Ncoa3;RP23-120P1.1-001;mCG_14623;Aib1;Pcip;Rac3;Tram1	Nuclear receptor coactivator 3;Thyroid hormone receptor activator molecule 1;Receptor-associated coactivator 3;Amplified in breast cancer-1 protein homolog;Steroid receptor coactivator protein 3;CBP-interacting protein	152 kDa protein;nuclear receptor coactivator 3;Nuclear receptor coactivator 3	1400	4861.19	1102.04	6.6	7.37
ENSMUST00000050067	Hectd3	Probable E3 ubiquitin-protein ligase HECTD3;HECT domain-containing protein 3	Isoform 1 of Probable E3 ubiquitin-protein ligase HECTD3	861	4880.21	2003.33	3.89	4.31
ENSMUST00000020931	Smc6;Kiaa4103;Smc6l1	Structural maintenance of chromosomes protein 6	Isoform 1 of Structural maintenance of chromosomes protein 6	1097	4916.14	7633.05	12.93	12.83
ENSMUST00000021963	Camlg;Caml	Calcium signal-modulating cyclophilin ligand	Calcium signal-modulating cyclophilin ligand	294	4918.86	7730.67	9.38	13.32
ENSMUST00000080036;ENSMUST00000114300	Htt;Hd;Hdh	Huntingtin;Huntington disease protein homolog	huntingtin;Isoform Short of Huntingtin	3120	4926.94	5212.16	7.17	8.05
ENSMUST00000070334;ENSMUST00000078975	G6pc3;Ugrp	Glucose-6-phosphatase 3;Ubiquitous glucose-6-phosphatase catalytic subunit-related protein	Glucose-6-phosphatase 3	346	4933.77	5988.63	3.73	2.89
ENSMUST00000024553;ENSMUST00000096109	Pigx	Phosphatidylinositol-glycan biosynthesis class X protein	"Isoform 1 of Phosphatidylinositol-glycan biosynthesis class X protein;phosphatidylinositol glycan anchor biosynthesis, class X isoform 2 precursor;12 kDa protein"	254	4942.46	1991.31	7.73	10.26
ENSMUST00000022038	Mak10;Egap	Protein MAK10 homolog;Embryonic growth-associated protein	Protein MAK10 homolog	725	4948.4	1297.22	16.2	16.09
ENSMUST00000032457	Atg7;Apg7l	Autophagy-related protein 7;APG7-like;Ubiquitin-activating enzyme E1-like protein	Autophagy-related protein 7;hypothetical protein	698	4986.78	9159.26	5.73	5.86
ENSMUST00000101127;ENSMUST00000094700	Fryl;mKIAA0826	MKIAA0826 protein;Fryl protein	furry homolog-like isoform 1;Fryl protein	3007	4987.94	5913.73	5.15	6.37
ENSMUST00000096482;ENSMUST00000110585	Skp2	S-phase kinase-associated protein 2;F-box protein Skp2;Cyclin A/CDK2-associated protein p45;F-box/WD-40 protein 1	Isoform 1 of S-phase kinase-associated protein 2;Isoform 2 of S-phase kinase-associated protein 2	424	4989.55	2318.89	14.29	14.65
ENSMUST00000010974	Kdelr3	ER lumen protein retaining receptor 3;KDEL endoplasmic reticulum protein retention receptor 3	ER lumen protein retaining receptor 3	214	4995.94	104818.41	34.7	45.93
ENSMUST00000089482	Xpo4;Kiaa1721	Exportin-4	Exportin-4	1151	5008.16	5281.55	9.57	9.5
ENSMUST00000052509	Znf771;Zfp771	Zinc finger protein 771	Zinc finger protein 771	317	5026.65	528.66	13.25	14.14
